,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,name_len
15142,Manhattan,Midtown,Entire home/apt,999,2,54,1.49,1,58,41
15143,Queens,Astoria,Entire home/apt,165,1,0,1.3732214298586884,1,0,34
15144,Manhattan,Upper West Side,Entire home/apt,400,30,1,0.03,96,311,35
15145,Manhattan,Financial District,Entire home/apt,160,30,2,0.07,96,336,40
15146,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,3,3,0.08,1,0,26
15147,Manhattan,Chelsea,Entire home/apt,206,1,55,1.41,1,0,32
15148,Manhattan,Harlem,Private room,70,1,16,0.4,2,0,35
15149,Brooklyn,Williamsburg,Private room,65,1,1,0.03,1,0,31
15150,Brooklyn,Bedford-Stuyvesant,Entire home/apt,126,2,181,4.73,1,182,33
15151,Brooklyn,Crown Heights,Private room,40,10,0,1.3732214298586884,1,0,29
15152,Manhattan,Midtown,Entire home/apt,239,30,0,1.3732214298586884,121,352,45
15153,Brooklyn,Bedford-Stuyvesant,Entire home/apt,129,31,6,0.15,1,0,37
15154,Brooklyn,Flatbush,Entire home/apt,92,1,5,0.14,3,0,49
15155,Manhattan,Harlem,Private room,82,5,106,2.7,1,39,35
15156,Manhattan,Midtown,Entire home/apt,369,30,1,0.12,121,345,48
15157,Manhattan,Midtown,Entire home/apt,369,30,0,1.3732214298586884,121,345,36
15158,Manhattan,Midtown,Entire home/apt,99,1,172,4.33,1,213,34
15159,Brooklyn,Williamsburg,Private room,78,1,0,1.3732214298586884,1,0,28
15160,Brooklyn,Bedford-Stuyvesant,Private room,44,1,0,1.3732214298586884,1,0,36
15161,Manhattan,Upper East Side,Entire home/apt,160,3,0,1.3732214298586884,1,0,45
15162,Manhattan,Chelsea,Entire home/apt,220,4,81,2.11,1,217,46
15163,Bronx,Mott Haven,Entire home/apt,125,3,142,3.59,1,185,17
15164,Manhattan,Midtown,Entire home/apt,99,30,9,0.24,14,227,37
15165,Manhattan,Upper East Side,Entire home/apt,75,7,13,0.34,1,0,19
15166,Manhattan,Upper West Side,Entire home/apt,300,5,3,0.08,1,9,50
15167,Manhattan,Upper West Side,Entire home/apt,140,1,8,0.2,1,7,34
15168,Manhattan,Upper West Side,Private room,98,3,2,0.05,1,0,35
15169,Manhattan,Inwood,Private room,99,3,150,3.85,1,320,50
15170,Manhattan,Financial District,Entire home/apt,178,30,2,0.06,96,332,47
15171,Queens,Astoria,Private room,59,1,0,1.3732214298586884,1,0,30
15172,Brooklyn,Bushwick,Entire home/apt,75,1,48,1.22,2,36,48
15173,Queens,Belle Harbor,Private room,225,1,35,0.92,1,364,30
15174,Manhattan,Harlem,Private room,60,2,5,0.13,1,0,35
15175,Manhattan,West Village,Entire home/apt,268,1,3,0.08,2,0,11
15176,Brooklyn,Carroll Gardens,Entire home/apt,300,7,0,1.3732214298586884,1,0,27
15177,Manhattan,Gramercy,Entire home/apt,177,3,12,0.3,1,0,30
15178,Bronx,Longwood,Private room,60,2,47,1.22,4,249,20
15179,Manhattan,Lower East Side,Private room,60,3,8,0.21,1,0,33
15180,Bronx,Longwood,Private room,55,2,31,0.81,4,280,30
15181,Bronx,Longwood,Private room,60,2,77,1.96,4,171,34
15182,Brooklyn,Crown Heights,Entire home/apt,135,1,38,2.49,1,359,43
15183,Brooklyn,Fort Hamilton,Private room,43,23,0,1.3732214298586884,1,0,26
15184,Manhattan,Midtown,Entire home/apt,139,1,186,4.68,1,230,34
15185,Manhattan,Hell's Kitchen,Entire home/apt,100,2,6,0.16,1,0,35
15186,Brooklyn,Flatbush,Private room,100,4,5,0.14,1,7,23
15187,Queens,Ridgewood,Private room,40,1,48,1.24,1,1,39
15188,Manhattan,Harlem,Private room,55,1,1,0.03,2,0,34
15189,Manhattan,Financial District,Entire home/apt,175,2,2,0.05,1,0,34
15190,Brooklyn,Williamsburg,Entire home/apt,300,2,33,0.86,2,76,33
15191,Manhattan,Harlem,Private room,45,1,1,0.03,1,0,35
15192,Brooklyn,Clinton Hill,Entire home/apt,144,2,49,1.28,1,69,35
15193,Brooklyn,Crown Heights,Private room,60,2,129,3.32,2,39,32
15194,Manhattan,East Harlem,Private room,250,1,0,1.3732214298586884,1,365,32
15195,Brooklyn,Crown Heights,Private room,45,4,4,0.18,1,0,31
15196,Manhattan,East Village,Private room,80,1,1,0.03,1,0,32
15197,Manhattan,Upper West Side,Entire home/apt,136,30,0,1.3732214298586884,15,317,49
15198,Manhattan,East Village,Entire home/apt,149,2,16,0.43,1,0,44
15199,Manhattan,East Harlem,Private room,89,5,62,1.82,1,271,35
15200,Manhattan,East Village,Private room,110,3,36,0.91,1,292,38
15201,Manhattan,Chelsea,Private room,179,3,69,1.8,1,104,32
15202,Queens,Astoria,Shared room,500,2,15,0.39,2,365,37
15203,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,4,11,0.29,1,0,36
15204,Queens,Ridgewood,Entire home/apt,175,6,29,0.83,1,55,23
15205,Brooklyn,Cypress Hills,Entire home/apt,79,1,130,3.48,2,258,15
15206,Brooklyn,Clinton Hill,Entire home/apt,117,3,1,0.03,1,0,45
15207,Brooklyn,Williamsburg,Entire home/apt,91,5,0,1.3732214298586884,1,0,34
15208,Manhattan,Upper West Side,Private room,65,2,3,0.08,2,0,33
15209,Manhattan,Midtown,Entire home/apt,500,3,0,1.3732214298586884,1,0,41
15210,Manhattan,Chelsea,Private room,85,1,210,5.34,12,321,40
15211,Manhattan,Midtown,Entire home/apt,150,29,1,0.14,31,143,21
15212,Queens,Ridgewood,Private room,80,2,177,4.48,2,245,49
15213,Manhattan,Upper West Side,Entire home/apt,200,5,0,1.3732214298586884,1,0,33
15214,Brooklyn,Bedford-Stuyvesant,Entire home/apt,325,2,76,1.93,1,160,28
15215,Manhattan,Upper East Side,Private room,95,1,10,0.25,1,0,29
15216,Manhattan,East Village,Private room,100,1,0,1.3732214298586884,1,0,35
15217,Manhattan,Upper West Side,Shared room,85,2,47,1.2,1,76,16
15218,Brooklyn,Clinton Hill,Entire home/apt,115,5,8,0.21,1,0,32
15219,Manhattan,Two Bridges,Entire home/apt,111,1,41,1.17,1,4,28
15220,Manhattan,Upper West Side,Private room,84,1,27,0.69,1,0,34
15221,Brooklyn,Greenpoint,Private room,75,3,0,1.3732214298586884,1,0,35
15222,Manhattan,Harlem,Private room,95,12,4,0.1,1,0,39
15223,Brooklyn,Crown Heights,Entire home/apt,110,2,6,0.15,1,0,35
15224,Brooklyn,Greenpoint,Private room,50,4,1,0.03,1,0,34
15225,Brooklyn,Brooklyn Heights,Private room,115,1,0,1.3732214298586884,2,0,21
15226,Manhattan,Chelsea,Entire home/apt,225,2,5,0.14,1,0,29
15227,Brooklyn,Bushwick,Private room,80,3,0,1.3732214298586884,1,83,31
15228,Brooklyn,Bedford-Stuyvesant,Private room,110,1,2,0.05,2,342,35
15229,Brooklyn,Bedford-Stuyvesant,Private room,49,7,13,0.36,1,0,44
15230,Manhattan,Upper West Side,Private room,90,1,60,2.91,1,188,43
15231,Queens,Arverne,Entire home/apt,299,3,4,0.31,1,318,30
15232,Manhattan,Upper West Side,Private room,60,1,5,0.14,2,0,31
15233,Manhattan,Financial District,Entire home/apt,175,30,3,0.08,96,311,47
15234,Manhattan,East Harlem,Entire home/apt,115,2,18,0.48,1,3,28
15235,Brooklyn,Bedford-Stuyvesant,Private room,45,4,0,1.3732214298586884,1,0,27
15236,Brooklyn,Bedford-Stuyvesant,Private room,57,1,0,1.3732214298586884,1,0,35
15237,Manhattan,Chinatown,Entire home/apt,120,3,2,0.05,1,0,35
15238,Brooklyn,Brooklyn Heights,Entire home/apt,409,1,1,0.03,2,0,33
15239,Queens,Rosedale,Entire home/apt,350,40,15,0.39,1,365,41
15240,Queens,Arverne,Private room,95,1,31,0.79,5,361,33
15241,Brooklyn,Bedford-Stuyvesant,Private room,49,1,1,0.03,1,0,31
15242,Manhattan,East Harlem,Entire home/apt,155,1,2,0.05,1,0,33
15243,Brooklyn,Bedford-Stuyvesant,Entire home/apt,265,4,123,3.25,1,285,44
15244,Brooklyn,East Flatbush,Entire home/apt,215,2,44,1.28,1,279,35
15245,Queens,Ridgewood,Private room,120,2,162,4.12,2,268,49
15246,Brooklyn,Bedford-Stuyvesant,Private room,54,2,1,0.03,3,319,27
15247,Brooklyn,Bedford-Stuyvesant,Private room,79,2,0,1.3732214298586884,3,319,28
15248,Manhattan,Upper East Side,Private room,185,1,0,1.3732214298586884,1,0,29
15249,Manhattan,Washington Heights,Entire home/apt,60,5,16,0.41,1,4,33
15250,Queens,Arverne,Entire home/apt,750,1,14,0.36,2,352,49
15251,Manhattan,Upper East Side,Entire home/apt,160,1,0,1.3732214298586884,1,0,30
15252,Manhattan,Greenwich Village,Entire home/apt,210,1,58,1.49,1,2,35
15253,Brooklyn,Williamsburg,Private room,80,1,2,0.05,1,0,33
15254,Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,5,93,2.38,1,0,23
15255,Brooklyn,Bedford-Stuyvesant,Entire home/apt,99,2,43,1.16,1,0,43
15256,Manhattan,East Village,Entire home/apt,200,2,0,1.3732214298586884,1,0,25
15257,Brooklyn,Williamsburg,Private room,84,1,181,4.59,1,282,41
15258,Brooklyn,Kensington,Entire home/apt,105,4,7,0.18,1,20,31
15259,Brooklyn,Williamsburg,Private room,150,2,0,1.3732214298586884,1,0,31
15260,Queens,Rockaway Beach,Private room,88,2,32,0.84,1,0,39
15261,Manhattan,Upper East Side,Private room,65,1,0,1.3732214298586884,1,0,28
15262,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,1,0,1.3732214298586884,1,0,28
15263,Manhattan,Upper East Side,Entire home/apt,140,2,1,0.03,1,0,40
15264,Brooklyn,Crown Heights,Private room,50,3,14,0.35,1,0,29
15265,Brooklyn,Williamsburg,Entire home/apt,175,2,2,0.05,1,0,26
15266,Staten Island,Tottenville,Private room,100,2,0,1.3732214298586884,1,365,30
15267,Brooklyn,Fort Greene,Private room,50,4,15,0.38,1,0,34
15268,Queens,Flushing,Private room,60,5,66,1.69,12,141,40
15269,Brooklyn,Bushwick,Private room,51,3,0,1.3732214298586884,1,0,35
15270,Brooklyn,Williamsburg,Private room,55,5,0,1.3732214298586884,1,0,20
15271,Brooklyn,Bushwick,Private room,85,1,0,1.3732214298586884,1,0,27
15272,Brooklyn,Crown Heights,Private room,60,2,136,3.45,1,346,28
15273,Manhattan,Upper West Side,Entire home/apt,143,2,32,0.81,1,0,33
15274,Manhattan,Lower East Side,Entire home/apt,85,5,4,0.11,1,282,39
15275,Queens,Sunnyside,Entire home/apt,110,2,24,1.52,1,128,41
15276,Manhattan,Midtown,Entire home/apt,449,30,0,1.3732214298586884,121,345,45
15277,Manhattan,Harlem,Private room,35,1,0,1.3732214298586884,1,0,32
15278,Manhattan,Midtown,Entire home/apt,369,30,1,0.04,121,345,45
15279,Manhattan,Morningside Heights,Private room,70,8,0,1.3732214298586884,1,0,41
15280,Brooklyn,Gowanus,Entire home/apt,295,2,70,1.8,1,292,48
15281,Manhattan,Upper West Side,Entire home/apt,110,120,2,0.05,2,34,30
15282,Manhattan,Upper East Side,Private room,65,1,2,0.05,1,0,24
15283,Manhattan,Hell's Kitchen,Entire home/apt,109,30,8,0.28,91,159,25
15284,Brooklyn,Sunset Park,Private room,35,1,2,0.05,2,0,35
15285,Brooklyn,Clinton Hill,Private room,50,1,3,0.1,1,0,34
15286,Brooklyn,Williamsburg,Private room,44,1,8,0.23,1,357,43
15287,Manhattan,East Village,Entire home/apt,275,2,70,1.84,4,307,35
15288,Manhattan,East Village,Private room,110,2,46,1.17,4,307,26
15289,Brooklyn,Williamsburg,Entire home/apt,120,1,1,0.03,1,0,22
15290,Brooklyn,Clinton Hill,Private room,50,7,4,0.11,1,0,30
15291,Brooklyn,Crown Heights,Entire home/apt,87,3,87,2.25,1,260,28
15292,Manhattan,Washington Heights,Private room,78,1,0,1.3732214298586884,1,0,35
15293,Manhattan,Washington Heights,Private room,49,2,0,1.3732214298586884,1,0,33
15294,Manhattan,Nolita,Private room,109,7,3,0.09,1,0,35
15295,Manhattan,East Harlem,Private room,65,1,1,0.03,1,0,43
15296,Manhattan,Lower East Side,Private room,150,1,41,1.07,3,274,44
15297,Manhattan,Murray Hill,Entire home/apt,225,1,45,1.16,1,255,44
15298,Manhattan,Upper West Side,Entire home/apt,100,1,1,0.03,1,0,33
15299,Manhattan,Harlem,Entire home/apt,125,1,103,2.67,2,339,35
15300,Manhattan,East Village,Entire home/apt,115,4,46,1.19,1,0,32
15301,Brooklyn,Bushwick,Private room,62,1,1,0.03,1,0,34
15302,Brooklyn,Bushwick,Private room,50,7,2,0.06,1,0,30
15303,Manhattan,East Village,Entire home/apt,200,2,39,1.15,1,0,45
15304,Queens,Arverne,Entire home/apt,225,1,6,0.56,2,352,49
15305,Manhattan,Kips Bay,Entire home/apt,159,30,5,0.18,91,281,50
15306,Manhattan,Theater District,Entire home/apt,150,28,4,0.11,1,331,47
15307,Brooklyn,Bushwick,Private room,29,2,4,0.11,1,0,28
15308,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,1,0,1.3732214298586884,3,359,28
15309,Brooklyn,Bushwick,Private room,80,2,9,0.23,1,0,32
15310,Brooklyn,Bay Ridge,Private room,35,1,33,0.84,1,337,48
15311,Manhattan,Upper East Side,Entire home/apt,250,7,8,0.22,1,294,32
15312,Manhattan,Upper East Side,Entire home/apt,160,1,0,1.3732214298586884,1,0,33
15313,Manhattan,Lower East Side,Entire home/apt,175,30,12,0.32,1,0,28
15314,Brooklyn,Williamsburg,Entire home/apt,150,2,11,0.28,7,330,43
15315,Queens,Long Island City,Entire home/apt,165,2,3,0.08,1,0,31
15316,Brooklyn,Greenpoint,Entire home/apt,150,3,0,1.3732214298586884,1,0,35
15317,Brooklyn,Williamsburg,Entire home/apt,159,2,13,0.34,7,317,47
15318,Brooklyn,Sunset Park,Entire home/apt,140,2,108,2.89,1,278,47
15319,Brooklyn,Williamsburg,Entire home/apt,159,3,2,0.05,2,0,35
15320,Manhattan,Washington Heights,Private room,77,7,17,0.46,1,311,45
15321,Brooklyn,Williamsburg,Private room,49,3,3,0.08,2,0,35
15322,Brooklyn,Gowanus,Private room,55,1,56,1.46,2,281,30
15323,Brooklyn,Park Slope,Private room,50,1,113,2.87,2,352,32
15324,Manhattan,Washington Heights,Entire home/apt,359,1,96,2.48,4,309,47
15325,Brooklyn,Bedford-Stuyvesant,Private room,50,3,3,0.08,1,0,29
15326,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,40,1,2,0.05,1,0,35
15327,Manhattan,Midtown,Entire home/apt,219,2,5,0.13,3,0,35
15328,Brooklyn,South Slope,Entire home/apt,189,4,68,1.73,1,83,29
15329,Manhattan,Lower East Side,Entire home/apt,140,5,2,0.05,1,0,35
15330,Queens,Maspeth,Entire home/apt,96,30,17,0.47,2,325,45
15331,Brooklyn,Boerum Hill,Entire home/apt,300,180,0,1.3732214298586884,1,365,28
15332,Queens,Jackson Heights,Private room,125,1,11,0.28,4,301,26
15333,Brooklyn,East Flatbush,Private room,150,3,11,0.28,1,364,28
15334,Brooklyn,Cypress Hills,Private room,60,3,32,0.81,3,90,14
15335,Manhattan,Upper West Side,Private room,99,4,51,1.31,1,0,49
15336,Brooklyn,Cypress Hills,Private room,60,3,15,0.41,3,90,22
15337,Manhattan,Gramercy,Entire home/apt,198,2,37,0.98,1,0,29
15338,Manhattan,Hell's Kitchen,Entire home/apt,350,6,124,3.16,2,247,45
15339,Brooklyn,Park Slope,Entire home/apt,85,14,4,0.15,2,275,35
15340,Manhattan,Hell's Kitchen,Private room,80,3,0,1.3732214298586884,1,0,22
15341,Brooklyn,Williamsburg,Entire home/apt,80,2,6,0.15,1,0,29
15342,Manhattan,Upper West Side,Entire home/apt,135,30,6,0.16,96,311,34
15343,Brooklyn,Windsor Terrace,Entire home/apt,61,1,91,2.38,3,246,50
15344,Brooklyn,Bushwick,Private room,45,3,3,0.08,1,0,34
15345,Brooklyn,Bushwick,Private room,70,3,2,0.06,1,249,27
15346,Manhattan,Harlem,Private room,60,1,40,1.02,2,0,45
15347,Manhattan,Harlem,Private room,75,2,46,1.17,2,0,42
15348,Brooklyn,Greenpoint,Entire home/apt,165,2,3,0.08,1,0,30
15349,Brooklyn,Greenpoint,Entire home/apt,112,10,11,0.28,1,21,32
15350,Manhattan,Harlem,Private room,69,1,38,0.97,2,365,35
15351,Brooklyn,Sheepshead Bay,Private room,39,3,22,0.56,1,360,32
15352,Manhattan,Midtown,Entire home/apt,239,4,132,3.39,2,242,35
15353,Manhattan,East Village,Entire home/apt,150,2,0,1.3732214298586884,1,0,25
15354,Manhattan,Upper East Side,Private room,42,31,0,1.3732214298586884,1,0,35
15355,Manhattan,Greenwich Village,Entire home/apt,195,7,0,1.3732214298586884,1,0,34
15356,Manhattan,East Village,Entire home/apt,194,4,5,0.13,1,0,29
15357,Brooklyn,Bedford-Stuyvesant,Private room,75,2,1,0.03,1,0,26
15358,Brooklyn,Carroll Gardens,Entire home/apt,130,2,0,1.3732214298586884,2,16,31
15359,Manhattan,Chelsea,Entire home/apt,165,3,110,2.87,1,222,30
15360,Manhattan,Morningside Heights,Private room,70,3,0,1.3732214298586884,1,0,33
15361,Manhattan,East Village,Entire home/apt,200,2,3,0.08,1,0,29
15362,Brooklyn,Williamsburg,Private room,40,15,0,1.3732214298586884,1,0,44
15363,Brooklyn,Williamsburg,Entire home/apt,205,2,7,0.18,1,4,47
15364,Brooklyn,Bedford-Stuyvesant,Private room,45,4,35,0.91,2,89,48
15365,Manhattan,Midtown,Entire home/apt,139,2,132,3.66,1,154,38
15366,Manhattan,Washington Heights,Entire home/apt,339,1,87,2.28,4,318,37
15367,Brooklyn,Brownsville,Entire home/apt,49,14,3,0.08,1,291,35
15368,Manhattan,Upper West Side,Entire home/apt,190,4,1,0.08,1,118,28
15369,Brooklyn,Greenpoint,Entire home/apt,450,365,17,0.5,1,365,16
15370,Brooklyn,Kensington,Private room,45,1,103,2.68,11,0,45
15371,Brooklyn,Williamsburg,Entire home/apt,199,2,29,0.74,1,174,50
15372,Brooklyn,Carroll Gardens,Entire home/apt,55,2,0,1.3732214298586884,1,0,38
15373,Brooklyn,Bedford-Stuyvesant,Private room,33,13,7,0.2,1,297,35
15374,Brooklyn,Williamsburg,Entire home/apt,149,4,5,0.14,1,0,35
15375,Brooklyn,Williamsburg,Private room,80,1,54,1.37,1,0,35
15376,Brooklyn,Fort Greene,Entire home/apt,120,3,25,0.72,1,0,26
15377,Brooklyn,Williamsburg,Private room,73,1,4,0.11,2,0,29
15379,Brooklyn,Crown Heights,Private room,44,3,32,0.83,2,0,30
15380,Manhattan,Washington Heights,Entire home/apt,105,3,8,0.21,1,0,28
15381,Manhattan,East Harlem,Private room,70,1,0,1.3732214298586884,1,0,41
15382,Manhattan,Hell's Kitchen,Private room,120,2,17,0.43,1,0,46
15383,Brooklyn,Flatbush,Private room,57,3,33,0.85,3,345,31
15384,Queens,Astoria,Entire home/apt,120,1,1,0.03,1,0,34
15385,Manhattan,Midtown,Private room,100,4,40,3.36,2,164,46
15386,Manhattan,Flatiron District,Entire home/apt,525,5,49,1.26,1,314,45
15387,Brooklyn,Williamsburg,Private room,100,3,0,1.3732214298586884,1,0,22
15388,Brooklyn,Williamsburg,Private room,75,3,3,0.09,1,0,31
15389,Brooklyn,Sheepshead Bay,Entire home/apt,45,1,0,1.3732214298586884,1,0,15
15390,Brooklyn,Bushwick,Private room,65,1,2,0.06,2,0,26
15391,Brooklyn,Park Slope,Entire home/apt,132,1,67,1.77,1,264,38
15392,Manhattan,Harlem,Entire home/apt,350,5,0,1.3732214298586884,1,0,34
15393,Queens,Flushing,Private room,50,7,83,2.15,12,171,47
15394,Manhattan,East Harlem,Private room,60,3,27,0.69,1,0,31
15395,Bronx,Parkchester,Private room,59,1,120,3.11,2,336,31
15396,Manhattan,East Village,Private room,80,1,32,0.85,1,0,30
15397,Bronx,Pelham Gardens,Entire home/apt,450,2,81,2.07,4,342,16
15398,Brooklyn,Williamsburg,Private room,45,3,7,0.41,1,133,33
15399,Manhattan,Washington Heights,Entire home/apt,359,1,126,3.21,4,318,40
15400,Manhattan,Chelsea,Private room,200,1,1,0.03,1,0,13
15401,Manhattan,Upper West Side,Entire home/apt,120,3,11,0.32,1,0,30
15402,Manhattan,Upper East Side,Entire home/apt,140,2,6,0.17,1,0,48
15403,Brooklyn,Flatbush,Entire home/apt,436,3,9,0.37,1,27,29
15404,Manhattan,Chelsea,Entire home/apt,249,3,9,0.23,1,0,30
15405,Manhattan,Midtown,Entire home/apt,300,1,0,1.3732214298586884,1,0,31
15406,Brooklyn,Bedford-Stuyvesant,Entire home/apt,140,30,38,1.1,1,312,35
15407,Brooklyn,Williamsburg,Entire home/apt,170,5,35,0.9,1,290,34
15408,Brooklyn,Williamsburg,Entire home/apt,200,2,0,1.3732214298586884,1,0,35
15409,Brooklyn,Williamsburg,Private room,60,1,2,0.05,1,0,31
15410,Manhattan,Chinatown,Private room,94,3,4,0.1,1,364,44
15411,Manhattan,Upper West Side,Entire home/apt,399,1,0,1.3732214298586884,2,0,25
15412,Brooklyn,Bushwick,Private room,45,1,7,0.18,1,0,34
15413,Brooklyn,Cypress Hills,Private room,60,3,2,0.05,1,0,35
15414,Queens,Maspeth,Private room,169,3,27,0.78,6,256,36
15415,Manhattan,East Village,Private room,80,3,1,0.03,1,0,23
15416,Brooklyn,Bedford-Stuyvesant,Private room,55,1,12,0.75,2,22,36
15417,Manhattan,East Harlem,Entire home/apt,220,2,140,3.6,3,341,44
15418,Brooklyn,Bergen Beach,Entire home/apt,235,4,32,0.88,1,322,35
15419,Brooklyn,Clinton Hill,Entire home/apt,125,3,2,0.05,1,0,28
15420,Queens,Astoria,Private room,66,1,1,0.03,1,0,27
15421,Manhattan,Financial District,Private room,80,1,5,0.13,1,0,34
15422,Queens,Far Rockaway,Private room,40,30,0,1.3732214298586884,43,354,46
15423,Queens,Astoria,Private room,57,2,14,0.37,1,0,35
15424,Brooklyn,Crown Heights,Private room,48,2,107,2.74,5,268,32
15425,Manhattan,East Village,Entire home/apt,99,20,2,0.06,1,0,25
15426,Queens,Laurelton,Private room,40,2,47,1.19,5,173,13
15427,Manhattan,Upper West Side,Entire home/apt,250,90,0,1.3732214298586884,2,90,35
15428,Manhattan,East Village,Private room,180,1,14,0.4,1,90,47
15429,Manhattan,Upper East Side,Entire home/apt,115,2,7,0.2,1,0,49
15430,Brooklyn,Williamsburg,Private room,104,2,19,0.49,2,249,45
15431,Brooklyn,Williamsburg,Entire home/apt,325,4,12,0.49,1,6,31
15432,Manhattan,Midtown,Entire home/apt,299,2,14,0.36,3,0,35
15433,Brooklyn,Bedford-Stuyvesant,Private room,40,1,5,0.13,1,0,31
15434,Manhattan,Upper East Side,Private room,89,1,9,0.23,1,198,39
15435,Manhattan,Hell's Kitchen,Entire home/apt,100,30,7,0.19,31,244,31
15436,Queens,Jamaica,Entire home/apt,59,1,27,0.7,2,62,50
15437,Manhattan,Financial District,Entire home/apt,300,3,100,2.66,1,335,44
15438,Manhattan,Gramercy,Private room,65,1,0,1.3732214298586884,2,0,34
15439,Manhattan,Inwood,Private room,50,2,74,1.98,1,310,29
15440,Manhattan,Lower East Side,Entire home/apt,120,1,0,1.3732214298586884,1,0,32
15441,Manhattan,Lower East Side,Private room,125,1,0,1.3732214298586884,1,0,34
15442,Brooklyn,Williamsburg,Private room,80,4,2,0.77,1,66,45
15443,Manhattan,Upper West Side,Private room,56,7,1,0.03,1,0,26
15444,Manhattan,Hell's Kitchen,Entire home/apt,219,7,100,2.66,1,235,34
15445,Manhattan,Hell's Kitchen,Entire home/apt,197,1,0,1.3732214298586884,1,0,20
15446,Brooklyn,Bushwick,Entire home/apt,260,4,105,2.85,1,48,34
15447,Manhattan,Flatiron District,Entire home/apt,115,14,3,0.13,1,0,47
15448,Bronx,Parkchester,Private room,75,2,63,1.8,2,150,28
15449,Brooklyn,Crown Heights,Private room,66,1,1,0.03,1,0,17
15450,Queens,Astoria,Private room,75,1,21,0.55,1,364,37
15451,Manhattan,SoHo,Entire home/apt,500,2,0,1.3732214298586884,1,0,33
15452,Queens,Ridgewood,Entire home/apt,215,1,38,1.75,1,77,48
15453,Manhattan,Harlem,Entire home/apt,175,2,136,3.51,2,280,25
15454,Manhattan,Hell's Kitchen,Entire home/apt,140,7,131,3.37,1,111,36
15455,Brooklyn,Downtown Brooklyn,Private room,80,1,0,1.3732214298586884,1,0,33
15456,Manhattan,Midtown,Private room,359,5,0,1.3732214298586884,1,0,26
15457,Brooklyn,Williamsburg,Private room,80,1,1,0.03,3,0,36
15458,Brooklyn,Park Slope,Private room,935,1,0,1.3732214298586884,1,0,27
15459,Queens,Astoria,Entire home/apt,120,7,1,0.03,1,0,35
15460,Bronx,Longwood,Entire home/apt,85,5,4,0.31,1,0,42
15461,Brooklyn,Sunset Park,Entire home/apt,100,2,3,0.1,1,0,33
15462,Brooklyn,Crown Heights,Private room,64,5,7,0.18,2,0,34
15463,Manhattan,Lower East Side,Private room,75,2,3,0.08,1,0,35
15464,Manhattan,East Harlem,Private room,62,1,32,0.83,1,0,34
15465,Manhattan,Hell's Kitchen,Entire home/apt,96,30,5,0.13,31,246,23
15466,Manhattan,Kips Bay,Entire home/apt,350,3,0,1.3732214298586884,1,0,28
15467,Manhattan,Upper East Side,Entire home/apt,100,1,0,1.3732214298586884,1,0,32
15468,Brooklyn,Flatbush,Entire home/apt,290,5,4,0.11,1,0,34
15469,Manhattan,Harlem,Private room,50,2,12,0.31,2,0,36
15470,Manhattan,Midtown,Entire home/apt,150,2,0,1.3732214298586884,1,0,35
15471,Manhattan,Hell's Kitchen,Private room,81,4,27,0.7,1,188,49
15472,Queens,Astoria,Private room,70,2,18,0.46,1,89,50
15473,Brooklyn,Clinton Hill,Private room,70,2,31,0.83,1,0,42
15474,Manhattan,East Village,Private room,150,3,0,1.3732214298586884,1,0,35
15475,Brooklyn,Williamsburg,Entire home/apt,95,4,10,0.37,1,0,30
15476,Brooklyn,Crown Heights,Entire home/apt,150,1,1,0.03,1,188,34
15477,Brooklyn,Fort Greene,Entire home/apt,169,2,136,3.46,1,251,35
15478,Brooklyn,Cypress Hills,Private room,25,1,0,1.3732214298586884,1,0,33
15479,Manhattan,Flatiron District,Entire home/apt,154,1,0,1.3732214298586884,1,0,29
15480,Manhattan,Midtown,Entire home/apt,140,5,1,0.03,1,0,32
15481,Manhattan,Harlem,Entire home/apt,130,2,5,0.13,1,0,34
15482,Brooklyn,Bedford-Stuyvesant,Private room,60,2,53,1.37,2,365,14
15483,Manhattan,West Village,Entire home/apt,250,3,0,1.3732214298586884,1,0,50
15484,Brooklyn,Williamsburg,Private room,55,3,2,0.05,1,0,35
15485,Brooklyn,Boerum Hill,Private room,150,1,0,1.3732214298586884,1,0,9
15486,Brooklyn,Bushwick,Private room,45,2,2,0.08,1,0,10
15487,Brooklyn,Sunset Park,Entire home/apt,199,1,164,4.25,1,340,35
15488,Manhattan,Morningside Heights,Entire home/apt,290,4,3,0.08,1,0,26
15489,Manhattan,Upper West Side,Entire home/apt,85,2,7,0.18,1,0,33
15490,Manhattan,Hell's Kitchen,Entire home/apt,150,30,3,0.12,31,332,29
15491,Brooklyn,Crown Heights,Entire home/apt,60,2,23,6.22,2,33,34
15492,Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,5,55,1.44,1,82,34
15493,Queens,Jackson Heights,Private room,47,1,15,0.39,2,0,50
15494,Brooklyn,Prospect-Lefferts Gardens,Private room,55,2,60,1.62,4,88,32
15495,Manhattan,Chinatown,Entire home/apt,195,2,80,2.04,1,14,25
